siteid,sitename,county,itemid,itemname,itemengname,itemunit,monitordate,concentration
30,大里,臺中市,1,二氧化硫,SO2,ppb,"2022-09-18 06:00",0.9
30,大里,臺中市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-18 05:00",16
30,大里,臺中市,7,二氧化氮,NO2,ppb,"2022-09-18 05:00",6.1
30,大里,臺中市,4,懸浮微粒,PM10,μg/m3,"2022-09-18 05:00",26
30,大里,臺中市,3,臭氧,O3,ppb,"2022-09-18 05:00",20.4
30,大里,臺中市,2,一氧化碳,CO,ppm,"2022-09-18 05:00",0.28
30,大里,臺中市,1,二氧化硫,SO2,ppb,"2022-09-18 05:00",0.9
30,大里,臺中市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-18 04:00",16
30,大里,臺中市,7,二氧化氮,NO2,ppb,"2022-09-18 04:00",5.6
30,大里,臺中市,4,懸浮微粒,PM10,μg/m3,"2022-09-18 04:00",33
30,大里,臺中市,3,臭氧,O3,ppb,"2022-09-18 04:00",20.1
30,大里,臺中市,2,一氧化碳,CO,ppm,"2022-09-18 04:00",0.25
30,大里,臺中市,1,二氧化硫,SO2,ppb,"2022-09-18 04:00",0.9
30,大里,臺中市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-18 03:00",11
30,大里,臺中市,7,二氧化氮,NO2,ppb,"2022-09-18 03:00",6.2
30,大里,臺中市,4,懸浮微粒,PM10,μg/m3,"2022-09-18 03:00",29
30,大里,臺中市,3,臭氧,O3,ppb,"2022-09-18 03:00",21.6
30,大里,臺中市,2,一氧化碳,CO,ppm,"2022-09-18 03:00",0.25
30,大里,臺中市,1,二氧化硫,SO2,ppb,"2022-09-18 03:00",0.8
30,大里,臺中市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-18 02:00",17
30,大里,臺中市,7,二氧化氮,NO2,ppb,"2022-09-18 02:00",10
30,大里,臺中市,4,懸浮微粒,PM10,μg/m3,"2022-09-18 02:00",32
30,大里,臺中市,3,臭氧,O3,ppb,"2022-09-18 02:00",23
30,大里,臺中市,2,一氧化碳,CO,ppm,"2022-09-18 02:00",0.33
30,大里,臺中市,1,二氧化硫,SO2,ppb,"2022-09-18 02:00",1
30,大里,臺中市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-18 01:00",19
30,大里,臺中市,7,二氧化氮,NO2,ppb,"2022-09-18 01:00",13.2
30,大里,臺中市,4,懸浮微粒,PM10,μg/m3,"2022-09-18 01:00",39
30,大里,臺中市,3,臭氧,O3,ppb,"2022-09-18 01:00",14.8
30,大里,臺中市,2,一氧化碳,CO,ppm,"2022-09-18 01:00",0.39
30,大里,臺中市,1,二氧化硫,SO2,ppb,"2022-09-18 01:00",1
30,大里,臺中市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-18 00:00",17
30,大里,臺中市,7,二氧化氮,NO2,ppb,"2022-09-18 00:00",10.5
30,大里,臺中市,4,懸浮微粒,PM10,μg/m3,"2022-09-18 00:00",38
30,大里,臺中市,3,臭氧,O3,ppb,"2022-09-18 00:00",18.1
30,大里,臺中市,2,一氧化碳,CO,ppm,"2022-09-18 00:00",0.37
30,大里,臺中市,1,二氧化硫,SO2,ppb,"2022-09-18 00:00",1
30,大里,臺中市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-17 23:00",22
30,大里,臺中市,7,二氧化氮,NO2,ppb,"2022-09-17 23:00",16
30,大里,臺中市,4,懸浮微粒,PM10,μg/m3,"2022-09-17 23:00",45
30,大里,臺中市,3,臭氧,O3,ppb,"2022-09-17 23:00",17.7
30,大里,臺中市,2,一氧化碳,CO,ppm,"2022-09-17 23:00",0.43
30,大里,臺中市,1,二氧化硫,SO2,ppb,"2022-09-17 23:00",1.3
30,大里,臺中市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-17 22:00",18
30,大里,臺中市,7,二氧化氮,NO2,ppb,"2022-09-17 22:00",17.3
30,大里,臺中市,4,懸浮微粒,PM10,μg/m3,"2022-09-17 22:00",37
30,大里,臺中市,3,臭氧,O3,ppb,"2022-09-17 22:00",22.4
30,大里,臺中市,2,一氧化碳,CO,ppm,"2022-09-17 22:00",0.44
