siteid,sitename,county,itemid,itemname,itemengname,itemunit,monitordate,concentration
30,大里,臺中市,4,懸浮微粒,PM10,μg/m3,"2022-09-13 05:00",24
30,大里,臺中市,3,臭氧,O3,ppb,"2022-09-13 05:00",28
30,大里,臺中市,2,一氧化碳,CO,ppm,"2022-09-13 05:00",0.14
30,大里,臺中市,1,二氧化硫,SO2,ppb,"2022-09-13 05:00",1.2
30,大里,臺中市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-13 04:00",6
30,大里,臺中市,7,二氧化氮,NO2,ppb,"2022-09-13 04:00",3.7
30,大里,臺中市,4,懸浮微粒,PM10,μg/m3,"2022-09-13 04:00",25
30,大里,臺中市,3,臭氧,O3,ppb,"2022-09-13 04:00",25.9
30,大里,臺中市,2,一氧化碳,CO,ppm,"2022-09-13 04:00",0.11
30,大里,臺中市,1,二氧化硫,SO2,ppb,"2022-09-13 04:00",1.2
30,大里,臺中市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-13 03:00",6
30,大里,臺中市,7,二氧化氮,NO2,ppb,"2022-09-13 03:00",4.5
30,大里,臺中市,4,懸浮微粒,PM10,μg/m3,"2022-09-13 03:00",28
30,大里,臺中市,3,臭氧,O3,ppb,"2022-09-13 03:00",23.9
30,大里,臺中市,2,一氧化碳,CO,ppm,"2022-09-13 03:00",0.11
30,大里,臺中市,1,二氧化硫,SO2,ppb,"2022-09-13 03:00",1.2
30,大里,臺中市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-13 02:00",5
30,大里,臺中市,7,二氧化氮,NO2,ppb,"2022-09-13 02:00",3.7
30,大里,臺中市,4,懸浮微粒,PM10,μg/m3,"2022-09-13 02:00",22
30,大里,臺中市,3,臭氧,O3,ppb,"2022-09-13 02:00",24.8
30,大里,臺中市,2,一氧化碳,CO,ppm,"2022-09-13 02:00",0.11
30,大里,臺中市,1,二氧化硫,SO2,ppb,"2022-09-13 02:00",1.2
30,大里,臺中市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-13 01:00",2
30,大里,臺中市,7,二氧化氮,NO2,ppb,"2022-09-13 01:00",4
30,大里,臺中市,4,懸浮微粒,PM10,μg/m3,"2022-09-13 01:00",14
30,大里,臺中市,3,臭氧,O3,ppb,"2022-09-13 01:00",23.8
30,大里,臺中市,2,一氧化碳,CO,ppm,"2022-09-13 01:00",0.11
30,大里,臺中市,1,二氧化硫,SO2,ppb,"2022-09-13 01:00",1.2
30,大里,臺中市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-13 00:00",3
30,大里,臺中市,7,二氧化氮,NO2,ppb,"2022-09-13 00:00",4.6
30,大里,臺中市,4,懸浮微粒,PM10,μg/m3,"2022-09-13 00:00",24
30,大里,臺中市,3,臭氧,O3,ppb,"2022-09-13 00:00",25.1
